ctg,patente,dia_egreso,puntos_capturados,ingreso,preingreso,calada,balanza_ingreso,balanza_egreso,celda16_descarga
10232968783,KKR913,2026-06-18,2,NO,SI,SI,NO,NO,NO

RESUMEN,,total_camiones,84
reconocidos_4_puntos_o_mas,,10/84,11.9%
ingreso,,19/84,22.62%,error_77.38%
preingreso,,18/84,21.43%,error_78.57%
calada,,47/84,55.95%,error_44.05%
balanza_ingreso,,31/84,36.9%,error_63.1%
balanza_egreso,,0/84,0%,error_100%
celda16_descarga,,2/84,2.38%,error_97.62%
