external_operation_id,plate,circuit,analysis_ready_for_scatter,raw_s1_in_excel_window,raw_s1_anytime_plate,raw_s1_count_in_window,raw_s1_best_instant,pipeline_has_s1_segment,pipeline_has_sl_ingreso_balanza_leg,pipeline_has_sl_ingreso_segment,gap_class,notes
CTG_10232841662,FQL388,R7,true,true,true,1,2026-06-10T16:59:40.811149-03:00,false,false,false,raw_s1_no_pipeline,S1 en crudo dentro de ventana Excel; merge/KPI no gener├│ segmento S1 ni tramo S0ÔåÆS1; sin segmento SL_INGRESO en merge
CTG_10132837569,HDS121,R7,true,false,true,0,,false,false,false,raw_outside_window_only,Hay S1 crudo para la patente pero fuera de ventana ingreso/salida Excel (revisar match o padding)
CTG_30032850522,IYR089,R7,true,false,true,0,,false,false,true,raw_outside_window_only,Hay S1 crudo para la patente pero fuera de ventana ingreso/salida Excel (revisar match o padding)
CTG_30032852466,JPS813,R7,true,false,true,0,,false,false,true,raw_outside_window_only,Hay S1 crudo para la patente pero fuera de ventana ingreso/salida Excel (revisar match o padding)
CTG_30032854217,FAF492,R7,true,true,true,1,2026-06-10T18:40:39.072547-03:00,false,false,true,raw_s1_no_pipeline,S1 en crudo dentro de ventana Excel; merge/KPI no gener├│ segmento S1 ni tramo S0ÔåÆS1
CTG_30032854460,EXR046,R7,true,false,true,0,,false,false,true,raw_outside_window_only,Hay S1 crudo para la patente pero fuera de ventana ingreso/salida Excel (revisar match o padding)
CTG_10232837916,AE899IC,R7,true,true,true,5,2026-06-10T18:08:59.565754-03:00,false,false,false,raw_s1_no_pipeline,S1 en crudo dentro de ventana Excel; merge/KPI no gener├│ segmento S1 ni tramo S0ÔåÆS1; sin segmento SL_INGRESO en merge
CTG_10232841241,OXL618,R7,true,true,true,1,2026-06-10T19:57:27.88163-03:00,false,false,false,raw_s1_no_pipeline,S1 en crudo dentro de ventana Excel; merge/KPI no gener├│ segmento S1 ni tramo S0ÔåÆS1; sin segmento SL_INGRESO en merge
CTG_10232839376,AB552CU,R7,true,true,true,1,2026-06-10T19:56:42.838137-03:00,false,false,false,raw_s1_no_pipeline,S1 en crudo dentro de ventana Excel; merge/KPI no gener├│ segmento S1 ni tramo S0ÔåÆS1; sin segmento SL_INGRESO en merge
CTG_10132818819,EHH559,R7,true,true,true,1,2026-06-10T19:54:02.891629-03:00,false,false,false,raw_s1_no_pipeline,S1 en crudo dentro de ventana Excel; merge/KPI no gener├│ segmento S1 ni tramo S0ÔåÆS1; sin segmento SL_INGRESO en merge
CTG_10232841825,CFR574,R7,true,true,true,1,2026-06-10T19:58:37.807756-03:00,false,false,false,raw_s1_no_pipeline,S1 en crudo dentro de ventana Excel; merge/KPI no gener├│ segmento S1 ni tramo S0ÔåÆS1; sin segmento SL_INGRESO en merge
CTG_10232846101,DIU264,R7,true,true,true,1,2026-06-10T20:42:02.154217-03:00,false,false,false,raw_s1_no_pipeline,S1 en crudo dentro de ventana Excel; merge/KPI no gener├│ segmento S1 ni tramo S0ÔåÆS1; sin segmento SL_INGRESO en merge
CTG_10132831087,AE675SA,R7,true,true,true,1,2026-06-10T21:04:26.832104-03:00,false,false,false,raw_s1_no_pipeline,S1 en crudo dentro de ventana Excel; merge/KPI no gener├│ segmento S1 ni tramo S0ÔåÆS1; sin segmento SL_INGRESO en merge
