ctg,patente,dia_egreso,puntos_capturados,ingreso,preingreso,calada,balanza_ingreso,balanza_egreso,volcable
10232957363,OOI695,2026-06-18,2,NO,SI,SI,NO,NO,NO
10232960063,EQM498,2026-06-18,0,NO,NO,NO,NO,NO,NO
10232962004,KFX508,2026-06-18,2,NO,NO,SI,SI,NO,NO
10232965343,AD674OO,2026-06-18,4,SI,SI,SI,SI,NO,NO
10232966197,AH345NE,2026-06-18,3,SI,NO,NO,SI,NO,SI
10232967484,AD541IK,2026-06-18,1,NO,NO,SI,NO,NO,NO
10232968050,AC567PH,2026-06-18,1,NO,NO,NO,NO,NO,SI
10232969407,AE229GC,2026-06-18,2,SI,SI,NO,NO,NO,NO
10232971511,MBT452,2026-06-18,4,SI,SI,SI,SI,NO,NO
10232971518,VVC494,2026-06-18,4,SI,SI,SI,SI,NO,NO
10232971520,AD707QT,2026-06-18,4,SI,SI,SI,SI,NO,NO
10232971529,BJL896,2026-06-18,4,SI,SI,SI,SI,NO,NO
10232971635,VSN194,2026-06-18,4,SI,SI,SI,SI,NO,NO
10232971704,REL854,2026-06-18,0,NO,NO,NO,NO,NO,NO
10232979731,AH708TF,2026-06-18,2,SI,SI,NO,NO,NO,NO

RESUMEN,,total_camiones,99
reconocidos_4_puntos_o_mas,,57/99,57.58%
ingreso,,73/99,73.74%,error_26.26%
preingreso,,66/99,66.67%,error_33.33%
calada,,74/99,74.75%,error_25.25%
balanza_ingreso,,74/99,74.75%,error_25.25%
balanza_egreso,,0/99,0%,error_100%
volcable,,38/99,38.38%,error_61.62%
