ctg,patente,dia_egreso,puntos_capturados,ingreso,preingreso,calada,balanza_ingreso,balanza_egreso,volcable
10132859630,AA777EQ,2026-06-12,0,NO,NO,NO,NO,NO,NO
10132859953,EPL048,2026-06-12,4,SI,SI,SI,SI,NO,NO
10232857254,AD763LR,2026-06-12,2,NO,NO,SI,NO,NO,SI
10232865831,MNP287,2026-06-12,2,NO,NO,NO,SI,NO,SI
10232866441,OQS987,2026-06-12,5,SI,SI,SI,SI,NO,SI
10232869430,SYD643,2026-06-12,1,NO,NO,NO,SI,NO,NO
10232871954,AA757WN,2026-06-12,3,SI,SI,SI,NO,NO,NO
10232872705,INA885,2026-06-12,3,NO,SI,SI,NO,NO,SI
10232874097,FLN836,2026-06-12,2,NO,NO,SI,NO,NO,SI
10232875109,AE356VT,2026-06-12,4,SI,SI,SI,NO,NO,SI
10232877000,CMU578,2026-06-12,4,SI,SI,SI,NO,NO,SI
10232877012,BIL295,2026-06-12,3,SI,SI,SI,NO,NO,NO
10232877037,EAA743,2026-06-12,3,SI,SI,SI,NO,NO,NO
10232877053,TSX149,2026-06-12,3,SI,SI,SI,NO,NO,NO
10232877064,BBU070,2026-06-12,5,SI,SI,SI,SI,NO,SI
10232877085,TUQ539,2026-06-12,3,SI,SI,SI,NO,NO,NO
10232877096,MWG720,2026-06-12,4,SI,SI,SI,NO,NO,SI
10232877113,MBT452,2026-06-12,3,SI,SI,SI,NO,NO,NO
10232877141,UXG866,2026-06-12,3,SI,SI,SI,NO,NO,NO
10232877828,ELU844,2026-06-12,1,NO,NO,NO,NO,NO,SI
10232878538,GHD821,2026-06-12,4,SI,SI,SI,SI,NO,NO
10232878684,BZT609,2026-06-12,5,SI,SI,SI,SI,NO,SI
10232878753,RTW199,2026-06-12,4,SI,SI,SI,SI,NO,NO
10232878872,RDB282,2026-06-12,5,SI,SI,SI,SI,NO,SI
10232879830,BDH961,2026-06-12,2,NO,NO,SI,SI,NO,NO
10232880454,GFG620,2026-06-12,5,SI,SI,SI,SI,NO,SI
10232880797,FHN229,2026-06-12,4,SI,SI,SI,SI,NO,NO
10232880940,RKU685,2026-06-12,5,SI,SI,SI,SI,NO,SI
10132883036,AG692XR,2026-06-13,5,SI,SI,SI,SI,NO,SI
10132892804,AE935AY,2026-06-13,5,SI,SI,SI,SI,NO,SI
10132892861,AE819OB,2026-06-13,4,SI,NO,SI,SI,NO,SI
10132899609,AI075XS,2026-06-13,4,NO,SI,SI,SI,NO,SI
10232883025,VCK965,2026-06-13,5,SI,SI,SI,SI,NO,SI
10232885490,AE892OB,2026-06-13,3,SI,NO,SI,NO,NO,SI
10232886222,KSB500,2026-06-13,4,SI,SI,SI,NO,NO,SI
10232892285,LCI193,2026-06-13,5,SI,SI,SI,SI,NO,SI
