ctg,patente,dia_egreso,puntos_capturados,ingreso,preingreso,calada,balanza_ingreso,balanza_egreso,volcable
10232894419,OTV585,2026-06-13,1,SI,NO,NO,NO,NO,NO
10232894822,IQA236,2026-06-13,5,SI,SI,SI,SI,NO,SI
10232897719,BXS878,2026-06-13,2,SI,SI,NO,NO,NO,NO
10132905537,AG252GR,2026-06-14,0,NO,NO,NO,NO,NO,NO
10132900095,AF543QZ,2026-06-15,4,SI,NO,SI,SI,NO,SI
10132900219,AD616CY,2026-06-15,5,SI,SI,SI,SI,NO,SI
10132900299,AD477SZ,2026-06-15,5,SI,SI,SI,SI,NO,SI
10132905009,AF947UX,2026-06-15,5,SI,SI,SI,SI,NO,SI
10132905282,AE174UO,2026-06-15,3,SI,SI,SI,NO,NO,NO
10132905721,AD761IY,2026-06-15,5,SI,SI,SI,SI,NO,SI
10132905727,AI075XS,2026-06-15,5,SI,SI,SI,SI,NO,SI
10132905737,AE819OB,2026-06-15,4,SI,NO,SI,SI,NO,SI
10132905740,AE935AY,2026-06-15,5,SI,SI,SI,SI,NO,SI
10132908749,JBA946,2026-06-15,4,SI,SI,SI,SI,NO,NO
10232899378,HXQ735,2026-06-15,5,SI,SI,SI,SI,NO,SI
10232901420,MHE543,2026-06-15,4,SI,SI,SI,SI,NO,NO
10232903062,AF306JJ,2026-06-15,0,NO,NO,NO,NO,NO,NO
10232903141,BXJ497,2026-06-15,4,SI,SI,SI,SI,NO,NO
10232903678,AD674OO,2026-06-15,3,SI,SI,NO,SI,NO,NO
10232904054,AD674OM,2026-06-15,5,SI,SI,SI,SI,NO,SI
10232904630,JBE868,2026-06-15,3,SI,SI,SI,NO,NO,NO
10232904636,AC567PI,2026-06-15,0,NO,NO,NO,NO,NO,NO
10232904640,AB391XR,2026-06-15,0,NO,NO,NO,NO,NO,NO
10132908575,PCR698,2026-06-16,1,NO,NO,NO,SI,NO,NO
10132908831,AA545GG,2026-06-16,1,NO,NO,SI,NO,NO,NO
10132908992,AH107TB,2026-06-16,5,SI,SI,SI,SI,NO,SI
10132912718,AB175BZ,2026-06-16,4,NO,SI,SI,SI,NO,SI
10132922202,AB121FV,2026-06-16,0,NO,NO,NO,NO,NO,NO
10132922463,LBL715,2026-06-16,5,SI,SI,SI,SI,NO,SI
10232900454,AH532DJ,2026-06-16,5,SI,SI,SI,SI,NO,SI
10232909487,HAU438,2026-06-16,0,NO,NO,NO,NO,NO,NO
10232911009,THR521,2026-06-16,4,SI,SI,SI,SI,NO,NO
10232915571,VVC494,2026-06-16,4,SI,SI,SI,SI,NO,NO
10232915592,RTW199,2026-06-16,4,SI,SI,SI,SI,NO,NO
10232915603,GFG620,2026-06-16,4,SI,SI,SI,SI,NO,NO
10232915608,RYL693,2026-06-16,4,SI,SI,SI,SI,NO,NO
10232915618,RDB282,2026-06-16,5,SI,SI,SI,SI,NO,SI
10232915640,RIA146,2026-06-16,2,SI,NO,NO,SI,NO,NO
10232915667,BDH961,2026-06-16,2,NO,NO,SI,SI,NO,NO
10232915691,CQF701,2026-06-16,4,SI,SI,SI,SI,NO,NO
10232915721,UVX713,2026-06-16,4,SI,SI,SI,SI,NO,NO
10232915752,FKZ258,2026-06-16,4,SI,SI,SI,SI,NO,NO
10232915951,FSM599,2026-06-16,3,SI,NO,SI,SI,NO,NO
10232915975,EDW495,2026-06-16,4,SI,SI,SI,SI,NO,NO
10232916017,GHD821,2026-06-16,4,SI,SI,SI,SI,NO,NO
10232916116,FHN229,2026-06-16,4,SI,SI,SI,SI,NO,NO
10232916322,RNZ709,2026-06-16,4,SI,SI,SI,SI,NO,NO
10232916433,CMU578,2026-06-16,4,SI,SI,SI,SI,NO,NO
10132912874,AD910XD,2026-06-17,5,SI,SI,SI,SI,NO,SI
10132913188,AB007DF,2026-06-17,4,SI,SI,SI,SI,NO,NO
10132913293,AC116RH,2026-06-17,0,NO,NO,NO,NO,NO,NO
10132919602,MJJ779,2026-06-17,5,SI,SI,SI,SI,NO,SI
10132919919,BXJ497,2026-06-17,4,SI,SI,SI,SI,NO,NO
10132919923,AE917XP,2026-06-17,4,NO,SI,SI,SI,NO,SI
10132919925,SJV014,2026-06-17,0,NO,NO,NO,NO,NO,NO
10132929094,AE638KQ,2026-06-17,5,SI,SI,SI,SI,NO,SI
10132936006,PFW845,2026-06-17,4,SI,NO,SI,SI,NO,SI
10132940212,LBL715,2026-06-17,5,SI,SI,SI,SI,NO,SI
10132943102,AB121FV,2026-06-17,0,NO,NO,NO,NO,NO,NO
10132944070,HCC966,2026-06-17,5,SI,SI,SI,SI,NO,SI
10232921984,EQM498,2026-06-17,2,SI,SI,NO,NO,NO,NO
10232924724,AB042ZD,2026-06-17,5,SI,SI,SI,SI,NO,SI
10232926299,AD541IK,2026-06-17,0,NO,NO,NO,NO,NO,NO
10232926672,RIV726,2026-06-17,4,SI,NO,SI,SI,NO,SI
10232926680,LXA077,2026-06-17,5,SI,SI,SI,SI,NO,SI
10232927535,EQV925,2026-06-17,3,NO,SI,SI,SI,NO,NO
10232934366,MDV127,2026-06-17,5,SI,SI,SI,SI,NO,SI
10232935356,AA757WN,2026-06-17,5,SI,SI,SI,SI,NO,SI
10232935776,BMI589,2026-06-17,0,NO,NO,NO,NO,NO,NO
10232937535,AH632SW,2026-06-17,5,SI,SI,SI,SI,NO,SI
10232939332,AA271NG,2026-06-17,0,NO,NO,NO,NO,NO,NO
10232941139,HAU438,2026-06-17,3,SI,NO,SI,SI,NO,NO
10232942102,REL854,2026-06-17,5,SI,SI,SI,SI,NO,SI
10232942188,TUQ539,2026-06-17,3,SI,SI,NO,SI,NO,NO
10232942218,AD707QT,2026-06-17,5,SI,SI,SI,SI,NO,SI
10232942222,BJL896,2026-06-17,5,SI,SI,SI,SI,NO,SI
10232942254,GFG620,2026-06-17,4,SI,SI,SI,SI,NO,NO
10232945424,BEU912,2026-06-17,3,SI,SI,NO,SI,NO,NO
10232947682,AB290FT,2026-06-17,5,SI,SI,SI,SI,NO,SI
10232949089,VSN194,2026-06-17,3,SI,NO,SI,SI,NO,NO
10132919920,RGJ980,2026-06-18,2,SI,NO,SI,NO,NO,NO
10132956607,PKE378,2026-06-18,4,SI,SI,SI,SI,NO,NO
10132969359,ETH144,2026-06-18,4,SI,SI,SI,SI,NO,NO
10132970852,ERB896,2026-06-18,2,SI,SI,NO,NO,NO,NO
10132972335,HCC966,2026-06-18,2,SI,SI,NO,NO,NO,NO
10232944221,BQK529,2026-06-18,0,NO,NO,NO,NO,NO,NO
10232951052,MOZ715,2026-06-18,4,SI,SI,SI,SI,NO,NO
10232956613,JDA077,2026-06-18,1,NO,NO,SI,NO,NO,NO
10232962093,MBP402,2026-06-18,3,NO,SI,SI,SI,NO,NO
10232964243,HDM034,2026-06-18,3,SI,SI,SI,NO,NO,NO
10232964312,EQV925,2026-06-18,4,NO,SI,SI,SI,NO,SI
10232964503,FAN313,2026-06-18,4,SI,SI,SI,NO,NO,SI
10232965106,CUG321,2026-06-18,3,SI,NO,SI,NO,NO,SI
10232966522,MTE014,2026-06-18,0,NO,NO,NO,NO,NO,NO
10232966723,AD989YE,2026-06-18,5,SI,SI,SI,SI,NO,SI
10232967071,JBE868,2026-06-18,2,SI,SI,NO,NO,NO,NO
10232968268,HEF797,2026-06-18,3,SI,SI,SI,NO,NO,NO
10232968988,AB042ZD,2026-06-18,5,SI,SI,SI,SI,NO,SI
10232971575,ELU844,2026-06-18,4,SI,SI,SI,SI,NO,NO
10232971583,BZT609,2026-06-18,4,SI,SI,SI,SI,NO,NO
10232971653,RTW199,2026-06-18,4,SI,SI,SI,SI,NO,NO
10232971772,RNA350,2026-06-18,0,NO,NO,NO,NO,NO,NO
10232971803,GFG620,2026-06-18,0,NO,NO,NO,NO,NO,NO
10232983588,AA004UC,2026-06-18,0,NO,NO,NO,NO,NO,NO

RESUMEN,,total_camiones,140
reconocidos_4_puntos_o_mas,,82/140,58.57%
ingreso,,105/140,75%,error_25%
preingreso,,99/140,70.71%,error_29.29%
calada,,108/140,77.14%,error_22.86%
balanza_ingreso,,91/140,65%,error_35%
balanza_egreso,,0/140,0%,error_100%
volcable,,60/140,42.86%,error_57.14%
