"raw_id","journey_uid","plate","truck_plate","sector_code","device_code","site","alert_type","type_alt","reason","message","occurred_at","created_at","recorded_at","alert_level","payload_json"
"31632","bc94aa62-e3b7-4206-a124-dac158b5ad79","","AA200WB","RICARDONE_CALADA","RicCal04","","","","","","","2026-05-17T07:44:25.357737-03:00","","","{}"
"31631","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T07:44:14.261316-03:00","","","{""plate"": ""HUMWH41"", ""eventId"": ""RicIngCamTrasera-27881"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""HUMWH41""}"
"31630","","","","RICARDONE_PREINGRESO","RicPreIngInTr","","","","","","","2026-05-17T07:43:39.399993-03:00","","","{""plate"": ""OA184"", ""eventId"": ""RicPreIngInTr-27673"", ""deviceCode"": ""RicPreIngInTr"", ""normalizedPlate"": ""OA184""}"
"31629","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T07:43:39.252719-03:00","","","{""plate"": ""846"", ""eventId"": ""RicIngCamTrasera-27873"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""846""}"
"31628","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T07:42:39.252448-03:00","","","{""plate"": ""OW8"", ""eventId"": ""RicIngCamTrasera-27865"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""OW8""}"
"31627","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T07:42:19.261367-03:00","","","{""plate"": ""HERMANN"", ""eventId"": ""RicIngCamTrasera-27857"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""HERMANN""}"
"31626","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T07:42:14.258344-03:00","","","{""plate"": ""J714"", ""eventId"": ""RicIngCamTrasera-27849"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""J714""}"
"31625","1396b666-1015-44b1-96cf-3fa9cfee2e86","","TDD358","RICARDONE_PREINGRESO","RicPreIngInFr","","","","","","","2026-05-17T07:42:09.559356-03:00","","","{}"
"31624","1396b666-1015-44b1-96cf-3fa9cfee2e86","","TDD358","RICARDONE_PREINGRESO","RicPreIngInFr","","","","","","","2026-05-17T07:42:09.496739-03:00","","","{}"
"31623","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","","","","","","","2026-05-17T07:42:09.414392-03:00","","","{""plate"": ""MA197"", ""eventId"": ""RicIngCamFrente-28705"", ""deviceCode"": ""RicIngCamFrente"", ""normalizedPlate"": ""MA197""}"
