journey_id,patente,producto,circuito,tramo_operativo,sector,planta,segment_from,segment_to,timestamp_inicio,timestamp_fin,fecha_tramo,hora_inicio,franja_horaria,color_franja,duracion_minutos,estado_ejecutivo,es_ultimo_cuarto,p75_tramo,p90_tramo,horario_fuente,horario_fuente_inicio,horario_fuente_fin
CTG_10133138736,BQT195,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-27T01:00:00,2026-06-27T05:25:00,2026-06-27,01:00,20_02,#dc2626,265,,false,288.3,337.9,truckflow,,
CTG_10133156606,UCN502,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-27T14:04:00,2026-06-27T18:38:00,2026-06-27,14:04,14_20,#16a34a,274,,false,288.3,337.9,truckflow,,
CTG_10133163999,RNC875,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-27T00:09:00,2026-06-27T04:57:00,2026-06-27,00:09,20_02,#dc2626,288,,false,288.3,337.9,truckflow,,
CTG_10133154555,GPG565,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-27T01:25:00,2026-06-27T06:14:00,2026-06-27,01:25,20_02,#dc2626,289,,true,288.3,337.9,truckflow,,
CTG_10233184019,FON882,GIRASOL,R6,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-27T20:01:00,2026-06-28T01:43:00,2026-06-27,20:01,20_02,#dc2626,342,,true,334.5,351.9,truckflow,,
CTG_10233184216,CLY413,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-27T19:46:00,2026-06-28T01:34:00,2026-06-27,19:46,14_20,#16a34a,348,,true,288.3,337.9,truckflow,,
CTG_10233182118,GQC488,GIRASOL,R6,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-27T19:19:00,2026-06-28T01:12:00,2026-06-27,19:19,14_20,#16a34a,353,,true,334.5,351.9,truckflow,,
CTG_10233182263,SMC098,GIRASOL,R6,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-27T19:19:00,2026-06-28T01:17:00,2026-06-27,19:19,14_20,#16a34a,358,,true,334.5,351.9,truckflow,,
CTG_10233188166,GWC160,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-27T23:56:00,2026-06-28T05:56:00,2026-06-27,23:56,20_02,#dc2626,360,,true,288.3,337.9,truckflow,,
CTG_10233188903,BMI589,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-28T19:15:00,2026-06-28T21:10:00,2026-06-28,19:15,14_20,#16a34a,115,,false,288.3,337.9,truckflow,,
