external_operation_id,journey_uid,plate_normalized,product_normalized,platform_normalized,resolved_circuit_family,resolved_operational_point,segment_order_global,segment_order_journey,segment_name,segment_from,segment_to,segment_start_time,segment_end_time,segment_duration_min,segment_plant,segment_leg,truckflow_circuit_code,resolved_executive_circuit_code,truckflow_executive_status,truckflow_valid_detail,match_quality,route_quality,analysis_ready_for_scatter,analysis_warning,external_ingreso_at,external_salida_at,external_calado_at
CTG_10133140706,,AB096UN,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-26T20:35:00,2026-06-27T00:33:00,238,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-26T20:35:00,2026-06-27T00:33:00,2026-06-26T22:40:00
CTG_10133139727,,IZX624,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-26T22:03:00,2026-06-27T01:20:00,197,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-26T22:03:00,2026-06-27T01:20:00,2026-06-26T22:44:00
CTG_10133140700,,HCO481,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-26T22:04:00,2026-06-27T02:09:00,245,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-26T22:04:00,2026-06-27T02:09:00,2026-06-26T22:46:00
CTG_10133138663,,LDX760,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-26T22:14:00,2026-06-27T02:51:00,277,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-26T22:14:00,2026-06-27T02:51:00,2026-06-26T22:48:00
CTG_10233155752,,KHL153,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-26T22:15:00,2026-06-27T03:53:00,338,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-26T22:15:00,2026-06-27T03:53:00,2026-06-26T22:51:00
CTG_10133138689,,OOD372,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-26T20:54:00,2026-06-27T04:27:00,453,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-26T20:54:00,2026-06-27T04:27:00,2026-06-26T22:42:00
CTG_10133163999,,RNC875,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-27T00:09:00,2026-06-27T04:57:00,288,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-27T00:09:00,2026-06-27T04:57:00,2026-06-27T01:14:00
CTG_10133138736,,BQT195,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-27T01:00:00,2026-06-27T05:25:00,265,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-27T01:00:00,2026-06-27T05:25:00,2026-06-27T04:35:00
CTG_10133154555,,GPG565,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-27T01:25:00,2026-06-27T06:14:00,289,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-27T01:25:00,2026-06-27T06:14:00,2026-06-27T04:39:00
CTG_10133139755,,HDK895,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-27T11:47:00,2026-06-27T15:11:00,204,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-27T11:47:00,2026-06-27T15:11:00,2026-06-27T13:25:00
