external_operation_id,plate_normalized,product_normalized,platform_normalized,external_ingreso_at,external_calado_at,external_salida_at,source_date,no_truckflow_reason,nearest_truckflow_journey_uid,nearest_truckflow_start_time,nearest_truckflow_end_time,nearest_time_delta_min,same_plate_journey_count,same_plate_journey_count_in_period,same_plate_journey_count_in_window,fuzzy_plate_candidates,diagnostic_detail
CTG_10233097845,GGK832,SOJA,VOLCABLE_PTO_1,2026-06-25T11:42:00,2026-06-25T20:13:00,2026-06-26T00:41:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233097969,DYS129,SOJA,VOLCABLE_PTO_2,2026-06-25T11:50:00,2026-06-25T20:14:00,2026-06-26T00:43:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233114545,FFF699,SOJA,VOLCABLE_PTO_3,2026-06-25T12:14:00,2026-06-25T20:19:00,2026-06-26T00:44:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233110803,SQS547,SOJA,VOLCABLE_PTO_5,2026-06-25T14:21:00,2026-06-25T22:10:00,2026-06-26T00:46:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133093278,AD644LA,SOJA,VOLCABLE_PTO_5,2026-06-25T12:16:00,2026-06-25T20:22:00,2026-06-26T00:58:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233119348,FEM709,SOJA,VOLCABLE_PTO_5,2026-06-25T14:56:00,2026-06-25T22:44:00,2026-06-26T01:02:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133103388,CEP307,SOJA,VOLCABLE_PTO_3,2026-06-25T14:48:00,2026-06-25T22:29:00,2026-06-26T01:12:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233119207,AB900YE,SOJA,VOLCABLE_PTO_5,2026-06-25T14:55:00,2026-06-25T22:42:00,2026-06-26T01:14:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233113142,AF386OW,SOJA,VOLCABLE_PTO_2,2026-06-25T14:41:00,2026-06-25T22:25:00,2026-06-26T01:17:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133115005,AB041DT,SOJA,VOLCABLE_PTO_3,2026-06-25T14:53:00,2026-06-25T22:38:00,2026-06-26T01:18:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
