journey_uid,truck_plate,normalized_plate,final_status,final_status_label,executive_bucket,executive_bucket_label,executive_anomaly_reason,event_count_front,device_sequence_front,sector_sequence_front,logical_sequence_front,ingreso_frontal_reference,ingreso_frontal_event_hits_on_journey,has_ingreso_frontal,has_operational_entry,entry_source,has_operational_exit,exit_source,has_strong_defining_point,has_logical_egreso,rear_only_excluded,rear_events_removed,preliminary_code,expected_points_count,matched_points_count,missing_points_count,reliability_score,reliability_explanation,confidence_level,refinement_note,data_quality_flag,matrix_final_status,executive_status,executive_reason,valid_detail,matrix_reason,sequence_respected,coverage_percent,has_strong_point,enabled_for_classification,sequence_configured,matrix_missing_points,matched_circuit_code,executive_circuit_code,executive_circuit_label,technical_matched_circuit_code,matrix_confidence,final_status_legacy,committee_group,committee_reason,operational_variation_type,analysis_scope,strong_point_source,show_in_committee,show_as_exact_circuit,candidate_circuits,missing_key_cameras,anomaly_origin_plant,anomaly_leg,matched_sequence_name,matched_variation_name,operationalAlertCount,hasInvalidRoute,hasInvalidJourneyStart,operationalAlertCodes,firstOperationalAlertAt,operationalAlertSectors,possibleSystemCutReason
faa1a79f-c3c9-4cea-9d1e-798a8c9c2d60,,,incompleto_revision,Incompleto en revisión,ANOMALO,Anómalo,INVALID_ROUTE_ALERT,7,RicIngCamFrente>RicPreIngInFr>RicCal01>RicEgrCamFrente>SLZIngCamFrente>SLZBalIngFte>SLZSalidaC1Fte,2-S0>2-S1>2-S2>2-S3>1-S0>1-S1>1-S7,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_BALANZA_INGRESO>SL_EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,true,ingreso_y_preingreso,true,egreso,true,true,false,false,CIRCUITO_SAN_LORENZO,4,4,0,100,Coinciden 4 de 4 puntos esperados del circuito.,alta,ok,missing_ingreso_frontal,INCOMPLETO,VALIDO,SECUENCIA_OPERATIVA_RECONSTRUIDA,,SECUENCIA_NO_CONCLUYENTE,false,80,true,true,true,SL_CALADA|SL_ENLACE|SL_DESCARGA|SL_BALANZA_SALIDA,R7,R7,Ricardone → San Lorenzo,CIRCUITO_R7_MIXTO,63.6,incompleto_revision,COMPLETOS,SECUENCIA_OPERATIVA_RECONSTRUIDA,,MIXTO,SAN_LORENZO,true,false,R7,,UNKNOWN,UNKNOWN,,,1,true,false,INVALID_ROUTE,2026-06-26T14:31:25.760689-03:00,1-S7,INVALID_ROUTE_DURING_JOURNEY
590779ef-cfd6-4a64-9ca2-b432a8af02a5__cycle_1,,,incompleto_revision,Incompleto en revisión,COMPLETO,Completo,,6,RicIngCamFrente>RicPreIngInFr>RicCal02>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2-S0>2-S1>2-S2>2-S3>1-S0>1-S7,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,true,ingreso_y_preingreso,true,egreso,true,true,false,false,CIRCUITO_SAN_LORENZO,4,4,0,100,Coinciden 4 de 4 puntos esperados del circuito.,alta,ok,missing_ingreso_frontal,INCOMPLETO,VALIDO,SECUENCIA_OPERATIVA_RECONSTRUIDA,,SECUENCIA_NO_CONCLUYENTE,false,80,true,true,true,SL_BALANZA_INGRESO|SL_CALADA|SL_ENLACE|SL_DESCARGA|SL_BALANZA_SALIDA,R7,R7,Ricardone → San Lorenzo,CIRCUITO_R7_MIXTO,54.5,incompleto_revision,COMPLETOS,SECUENCIA_OPERATIVA_RECONSTRUIDA,,MIXTO,SAN_LORENZO,true,false,R7,,UNKNOWN,UNKNOWN,,,0,false,false,,,,NONE
29c6c33c-d575-4747-a704-5699386f5db9,,,incompleto_revision,Incompleto en revisión,ANOMALO,Anómalo,INVALID_ROUTE_ALERT,6,RicIngCamFrente>RicPreIngInFr>RicCal01>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2-S0>2-S1>2-S2>2-S3>1-S0>1-S7,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,true,ingreso_y_preingreso,true,egreso,true,true,false,false,CIRCUITO_SAN_LORENZO,4,4,0,100,Coinciden 4 de 4 puntos esperados del circuito.,alta,ok,missing_ingreso_frontal,INCOMPLETO,VALIDO,SECUENCIA_OPERATIVA_RECONSTRUIDA,,SECUENCIA_NO_CONCLUYENTE,false,80,true,true,true,SL_BALANZA_INGRESO|SL_CALADA|SL_ENLACE|SL_DESCARGA|SL_BALANZA_SALIDA,R7,R7,Ricardone → San Lorenzo,CIRCUITO_R7_MIXTO,54.5,incompleto_revision,COMPLETOS,SECUENCIA_OPERATIVA_RECONSTRUIDA,,MIXTO,SAN_LORENZO,true,false,R7,,UNKNOWN,UNKNOWN,,,1,true,false,INVALID_ROUTE,2026-06-26T14:30:50.761005-03:00,1-S7,INVALID_ROUTE_DURING_JOURNEY
8cd18946-77ee-4dc1-a881-04fd241da853__cycle_2,,,incompleto_revision,Incompleto en revisión,INCOMPLETO,Incompleto,,2,RicIngCamFrente>RicEgrCamFrente,2-S0>2-S3,INGRESO>EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,true,ingreso_frontal,true,egreso,false,true,false,false,CIRCUITO_SAN_LORENZO,4,2,2,50,"Coinciden 2 de 4 puntos esperados. Faltan preingreso, calada.",baja,circuito_probable,missing_ingreso_frontal,INCOMPLETO,VALIDO,RUTA_RIC_SAN_LORENZO_COMPLETA,,EVENTOS_INSUFICIENTES,false,80,true,true,true,PREINGRESO|CALADA,R7,R7,Ricardone → San Lorenzo,CIRCUITO_SAN_LORENZO,50,incompleto_revision,COMPLETOS,RUTA_RIC_SAN_LORENZO_COMPLETA,,MIXTO,RICARDONE,true,false,R7,,UNKNOWN,UNKNOWN,,,0,false,false,,,,NONE
8622fb3d-cfcd-4d9f-8c71-d1ddf6e08a57__cycle_3,,,incompleto_revision,Incompleto en revisión,INCOMPLETO,Incompleto,,2,RicCal01>RicEgrCamFrente,2-S2>2-S3,CALADA>EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,false,sin_ingreso,true,egreso,false,true,false,false,DESPACHO_SIN_PUNTO_INSTRUMENTADO,6,2,4,33.3,"Coinciden 2 de 6 puntos esperados. Faltan ingreso, preingreso, balanza ingreso, balanza egreso.",muy_baja,circuito_probable_sin_ingreso,missing_ingreso_frontal,INCOMPLETO,NO_DIFERENCIABLE,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,EVENTOS_INSUFICIENTES,false,0,false,false,false,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,SIN_PUNTO,SIN_PUNTO,Sin punto instrumentado (sólidos),DESPACHO_SIN_PUNTO_INSTRUMENTADO,33.3,incompleto_revision,ANOMALIAS,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,UNKNOWN,,true,false,SIN_PUNTO,,UNKNOWN,UNKNOWN,,,0,false,false,,,,NONE
026a9b9c-6d76-4e75-9d29-0f5ad303660a__cycle_1,,,incompleto_revision,Incompleto en revisión,COMPLETO,Completo,,7,SLZSalidaC1Fte>RicIngCamFrente>RicPreIngInFr>RicCal01>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,1-S7>2-S0>2-S1>2-S2>2-S3>1-S0>1-S7,SL_EGRESO>INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,true,ingreso_y_preingreso,true,egreso,true,true,false,false,CIRCUITO_SAN_LORENZO,4,4,0,100,Coinciden 4 de 4 puntos esperados del circuito.,alta,ok,missing_ingreso_frontal,ANOMALO,VALIDO,RUTA_RIC_SAN_LORENZO_CON_ESPERA_CALADA,,NO_RESPETA_SECUENCIA,false,80,true,true,true,SL_BALANZA_INGRESO|SL_CALADA|SL_ENLACE|SL_DESCARGA|SL_BALANZA_SALIDA,R7,R7,Ricardone → San Lorenzo,CIRCUITO_R7_MIXTO,54.5,incompleto_revision,COMPLETOS,RUTA_RIC_SAN_LORENZO_COMPLETA,,MIXTO,SAN_LORENZO,true,false,R7,,UNKNOWN,UNKNOWN,,,0,false,false,,,,NONE
49e6859d-06da-4515-9114-57e3e68f6ba2,,,incompleto_revision,Incompleto en revisión,ANOMALO,Anómalo,INVALID_ROUTE_ALERT,6,RicIngCamFrente>RicPreIngInFr>RicCal02>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2-S0>2-S1>2-S2>2-S3>1-S0>1-S7,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,true,ingreso_y_preingreso,true,egreso,true,true,false,false,CIRCUITO_SAN_LORENZO,4,4,0,100,Coinciden 4 de 4 puntos esperados del circuito.,alta,ok,missing_ingreso_frontal,INCOMPLETO,VALIDO,SECUENCIA_OPERATIVA_RECONSTRUIDA,,SECUENCIA_NO_CONCLUYENTE,false,80,true,true,true,SL_BALANZA_INGRESO|SL_CALADA|SL_ENLACE|SL_DESCARGA|SL_BALANZA_SALIDA,R7,R7,Ricardone → San Lorenzo,CIRCUITO_R7_MIXTO,54.5,incompleto_revision,COMPLETOS,SECUENCIA_OPERATIVA_RECONSTRUIDA,,MIXTO,SAN_LORENZO,true,false,R7,,UNKNOWN,UNKNOWN,,,1,true,false,INVALID_ROUTE,2026-06-26T13:35:15.630861-03:00,1-S7,INVALID_ROUTE_DURING_JOURNEY
8ce8ef4f-877c-4a45-9c4e-f91d1d6db2dc,,,circuito_probable,Probable,ANOMALO,Anómalo,INVALID_ROUTE_ALERT,4,RicIngCamFrente>RicPreIngEgFr>RicCal01>RicEgrCamFrente,2-S0>2-S1>2-S2>2-S3,INGRESO>PREINGRESO_EGRESO>CALADA>EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,true,ingreso_frontal,true,egreso,false,true,false,false,CIRCUITO_SAN_LORENZO,4,3,1,75,Coinciden 3 de 4 puntos esperados. Falta preingreso.,media,circuito_probable,missing_ingreso_frontal,DEDUCIDO,VALIDO,RUTA_RIC_SAN_LORENZO_DEDUCIDA,DEDUCIDO,SECUENCIA_PARCIAL_CON_HUECOS,false,80,true,true,true,PREINGRESO,R7,R7,Ricardone → San Lorenzo,CIRCUITO_SAN_LORENZO,75,incompleto_revision,COMPLETOS,RUTA_RIC_SAN_LORENZO_DEDUCIDA,,MIXTO,RICARDONE,true,false,R7,,UNKNOWN,UNKNOWN,,,1,true,false,INVALID_ROUTE,2026-06-26T15:05:30.15556-03:00,2-S3,INVALID_ROUTE_DURING_JOURNEY
1fc90927-3e1b-41d7-aaa4-48fa3d7c220b__cycle_2,,,circuito_probable,Probable,DEDUCIDO,Deducido,,8,RicIngCamFrente>RicPreIngInFr>RicCalLiq>RicEgrCamFrente>SLZIngCamFrente>SLZBalIngFte>SLZBalIngFte>SLZSalidaC1Fte,2-S0>2-S1>2-S2>2-S3>1-S0>1-S1>1-S1>1-S7,INGRESO>PREINGRESO>LIQUIDO>EGRESO>SL_INGRESO>SL_BALANZA_INGRESO>SL_EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,true,ingreso_y_preingreso,true,egreso,true,true,false,false,CIRCUITO_LIQUIDO,6,4,2,66.7,"Coinciden 4 de 6 puntos esperados. Faltan balanza ingreso, balanza egreso.",media,circuito_probable+punto_fuerte,missing_ingreso_frontal,DEDUCIDO,VALIDO,CIRCUITO_DEDUCIDO_CON_EVIDENCIA,DEDUCIDO,SECUENCIA_PARCIAL_CON_HUECOS,false,63,true,true,true,BALANZA_INGRESO|BALANZA_EGRESO,R8,R8,Recepción Mercadería Líquida,CIRCUITO_LIQUIDO,60,incompleto_revision,COMPLETOS,CIRCUITO_DEDUCIDO_CON_EVIDENCIA,,RICARDONE,LIQUIDO,true,true,R8,,UNKNOWN,UNKNOWN,BASE,,0,false,false,,,,NONE
8b7ed317-481c-4427-bf09-2b435aab635f,,,incompleto_revision,Incompleto en revisión,INCOMPLETO,Incompleto,,2,RicIngCamFrente>RicEgrCamFrente,2-S0>2-S3,INGRESO>EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,true,ingreso_frontal,true,egreso,false,true,false,false,CIRCUITO_SAN_LORENZO,4,2,2,50,"Coinciden 2 de 4 puntos esperados. Faltan preingreso, calada.",baja,circuito_probable,missing_ingreso_frontal,INCOMPLETO,VALIDO,RUTA_RIC_SAN_LORENZO_COMPLETA,,EVENTOS_INSUFICIENTES,false,80,true,true,true,PREINGRESO|CALADA,R7,R7,Ricardone → San Lorenzo,CIRCUITO_SAN_LORENZO,50,incompleto_revision,COMPLETOS,RUTA_RIC_SAN_LORENZO_COMPLETA,,MIXTO,RICARDONE,true,false,R7,,UNKNOWN,UNKNOWN,,,1,true,false,INVALID_ROUTE,2026-06-26T10:14:30.044934-03:00,2-S3,INVALID_ROUTE_DURING_JOURNEY
