executive_circuit_code,journey_id,plate,from_logical,to_logical,transition_label,duration_min
R8,1d9d2813-fb89-4f91-8b0c-b36969df72db__cycle_1,,PREINGRESO,LIQUIDO,preingreso → líquido,5.95
R8,1d9d2813-fb89-4f91-8b0c-b36969df72db__cycle_1,,LIQUIDO,BALANZA_INGRESO,líquido → balanza ingreso,10.76
R1,7a9e5547-f75d-46df-b9d8-d54a33bed6e3,,INGRESO,CALADA,ingreso → calada,27.14
R1,7a9e5547-f75d-46df-b9d8-d54a33bed6e3,,CALADA,BALANZA_INGRESO,calada → balanza ingreso,7.57
R7,20e6a1c7-f681-43da-b56d-3fd159aba6b6__cycle_2,,INGRESO,PREINGRESO,ingreso → preingreso,2.17
R7,20e6a1c7-f681-43da-b56d-3fd159aba6b6__cycle_2,,PREINGRESO,CALADA,preingreso → calada,22.82
R7,20e6a1c7-f681-43da-b56d-3fd159aba6b6__cycle_2,,CALADA,EGRESO,calada → egreso,10.28
R7,20e6a1c7-f681-43da-b56d-3fd159aba6b6__cycle_2,,EGRESO,SL_INGRESO,egreso → san lorenzo ingreso,9.73
R7,20e6a1c7-f681-43da-b56d-3fd159aba6b6__cycle_2,,SL_INGRESO,SL_BALANZA_INGRESO,san lorenzo ingreso → balanza de entrada,3.56
R7,20e6a1c7-f681-43da-b56d-3fd159aba6b6__cycle_2,,SL_BALANZA_INGRESO,SL_EGRESO,balanza de entrada → egreso,42.50
R8,bd8e8ccc-660b-4053-bc45-ec4d280873d0__cycle_1,,INGRESO,PREINGRESO,ingreso → preingreso,2.08
R8,bd8e8ccc-660b-4053-bc45-ec4d280873d0__cycle_1,,PREINGRESO,LIQUIDO,preingreso → líquido,6.29
