executive_circuit_code,journey_id,plate,from_logical,to_logical,transition_label,duration_min
R7,466cb87a-82bb-4636-9224-37e3eb746bd3,,SL_BALANZA_INGRESO,SL_EGRESO,balanza de entrada → egreso,57.40
R7,5d732cca-1542-4d11-8cd6-5f010d64ab0e,,INGRESO,PREINGRESO,ingreso → preingreso,3.42
R7,5d732cca-1542-4d11-8cd6-5f010d64ab0e,,PREINGRESO,CALADA,preingreso → calada,9.50
R7,5d732cca-1542-4d11-8cd6-5f010d64ab0e,,CALADA,EGRESO,calada → egreso,5.93
R7,5d732cca-1542-4d11-8cd6-5f010d64ab0e,,EGRESO,SL_INGRESO,egreso → san lorenzo ingreso,8.73
R7,5d732cca-1542-4d11-8cd6-5f010d64ab0e,,SL_INGRESO,SL_BALANZA_INGRESO,san lorenzo ingreso → balanza de entrada,3.66
R7,5d732cca-1542-4d11-8cd6-5f010d64ab0e,,SL_BALANZA_INGRESO,SL_EGRESO,balanza de entrada → egreso,56.90
R7,4d591da9-6f46-4d6f-89ac-4039f600a24e__cycle_2,,INGRESO,PREINGRESO,ingreso → preingreso,3.17
R7,4d591da9-6f46-4d6f-89ac-4039f600a24e__cycle_2,,PREINGRESO,CALADA,preingreso → calada,10.42
R7,4d591da9-6f46-4d6f-89ac-4039f600a24e__cycle_2,,CALADA,EGRESO,calada → egreso,129.18
R7,4d591da9-6f46-4d6f-89ac-4039f600a24e__cycle_2,,EGRESO,SL_INGRESO,egreso → san lorenzo ingreso,9.48
R7,4d591da9-6f46-4d6f-89ac-4039f600a24e__cycle_2,,SL_INGRESO,SL_BALANZA_INGRESO,san lorenzo ingreso → balanza de entrada,168.30
R7,4d591da9-6f46-4d6f-89ac-4039f600a24e__cycle_2,,SL_BALANZA_INGRESO,SL_EGRESO,balanza de entrada → egreso,57.00
R7,d6ff66da-27f7-4ba7-bf9d-178b6a6e0188,,PREINGRESO,CALADA,preingreso → calada,67.70
R7,d6ff66da-27f7-4ba7-bf9d-178b6a6e0188,,CALADA,EGRESO,calada → egreso,164.81
R7,56198df5-c1d6-43b1-8302-1c165d9fb7cc__cycle_3,,INGRESO,PREINGRESO,ingreso → preingreso,2.00
R7,56198df5-c1d6-43b1-8302-1c165d9fb7cc__cycle_3,,PREINGRESO,CALADA,preingreso → calada,66.29
R7,56198df5-c1d6-43b1-8302-1c165d9fb7cc__cycle_3,,CALADA,EGRESO,calada → egreso,13.97
R7,56198df5-c1d6-43b1-8302-1c165d9fb7cc__cycle_3,,EGRESO,SL_INGRESO,egreso → san lorenzo ingreso,8.81
R7,56198df5-c1d6-43b1-8302-1c165d9fb7cc__cycle_3,,SL_BALANZA_INGRESO,SL_EGRESO,balanza de entrada → egreso,24.20
R8,ab443d3b-1323-44a6-adbf-cc9acf5ff4de__cycle_5,,INGRESO,PREINGRESO,ingreso → preingreso,3.17
