external_operation_id,plate_normalized,resolved_executive_circuit,resolved_product,resolved_platform,cohort,riccalliq_in_truckflow,s10_liquid_in_truckflow,sl_circuit,bridge_ric_sl,truckflow_circuit_codes,excel_planta,notes
CTG_30033230469,AKJ611,SL2,ACEITE GIRASOL PARA REFINAR,ACEITE_PTO,sl_liquido_san_lorenzo,true,false,SL2,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_30033229831,UUU110,SL2,ACEITE GIRASOL PARA REFINAR,ACEITE_PTO,sl_liquido_san_lorenzo,true,false,SL2,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233212411,AB178UY,R7,SOJA,VOLCABLE_PTO_2,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133180953,AB058QV,R7,SOJA,VOLCABLE_PTO_2,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233212207,KQF579,R7,SOJA,VOLCABLE_PTO_5,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133222020,NJK414,R7,SOJA,VOLCABLE_PTO_2,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133211190,AD685JX,R7,SOJA,VOLCABLE_PTO_2,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133207592,EIC607,R7,SOJA,VOLCABLE_PTO_5,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
COMPROB_000200430866,HHQ888,,CHIP DE EUCALIPTUS,PLAYA_LEÑA_Y_CHIP,sin_riccalliq,false,false,,false,,AVELLANEDA,plate_not_in_any_journey
CTG_10233165386,MIK238,R1,MAIZ,CELDA_171_-_CENTRO,sin_riccalliq,false,false,,false,,AVELLANEDA,plate_not_in_any_journey
CTG_10233211932,GIA643,R7,SOJA,VOLCABLE_PTO_5,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133196356,OVL175,R7,SOJA,VOLCABLE_PTO_5,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
COMPROB_000404033601,AG849JN,,FUEL-OIL,,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
COMPROB_000400418991,OVT999,SL1,ACEITE GIRASOL REFINADO,ACEITE_OSL,sl_liquido_san_lorenzo,false,false,SL1,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133187273,AG700LA,R7,SOJA,VOLCABLE_PTO_5,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133214851,EMW319,R7,SOJA,VOLCABLE_PTO_2,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_30033230974,AJV928,SL2,ACEITE GIRASOL PARA REFINAR,ACEITE_PTO,sl_liquido_san_lorenzo,true,false,SL2,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_30033231489,EXR046,SL2,ACEITE GIRASOL PARA REFINAR,ACEITE_PTO,sl_liquido_san_lorenzo,true,false,SL2,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233220209,ODO450,R7,SOJA,VOLCABLE_PTO_2,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
COMPROB_000400418992,EGV380,,PRODUCTOS VARIOS,,sin_riccalliq,false,true,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233218874,AA579ZR,R7,SOJA,VOLCABLE_PTO_3,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
