journey_id,patente,producto,circuito,tramo_operativo,sector,timestamp_inicio,timestamp_fin,duracion_minutos,es_stock_inicial,motivo_stock_inicial,fecha_inicio,hora_inicio,fecha_fin,hora_fin,estado_ejecutivo,planta
CTG_10233189549,PLE163,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T12:36:00,2026-06-28T14:54:00,138,false,,2026-06-28,12:36,2026-06-28,14:54,,RICARDONE
CTG_10233186084,DHL111,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T10:15:00,2026-06-28T12:41:00,146,false,,2026-06-28,10:15,2026-06-28,12:41,,RICARDONE
CTG_10233183742,RDV273,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T22:01:00,2026-06-29T01:09:00,188,false,,2026-06-28,22:01,2026-06-29,01:09,,RICARDONE
CTG_10233167091,ERI209,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T22:08:00,2026-06-29T01:55:00,227,false,,2026-06-28,22:08,2026-06-29,01:55,,RICARDONE
CTG_10233187188,CIF907,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T23:44:00,2026-06-29T03:39:00,235,false,,2026-06-28,23:44,2026-06-29,03:39,,RICARDONE
CTG_10233186890,AH156WG,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T04:30:00,2026-06-28T08:34:00,244,false,,2026-06-28,04:30,2026-06-28,08:34,,RICARDONE
CTG_10233163108,NAM468,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T22:12:00,2026-06-29T02:45:00,273,false,,2026-06-28,22:12,2026-06-29,02:45,,RICARDONE
CTG_10233176959,AA234NG,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-29T15:15:00,2026-06-29T17:53:00,158,false,,2026-06-29,15:15,2026-06-29,17:53,,RICARDONE
CTG_10233229018,RJS888,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-29T22:19:00,2026-06-30T01:09:00,170,false,,2026-06-29,22:19,2026-06-30,01:09,,RICARDONE
CTG_10133223175,UZY860,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-29T22:28:00,2026-06-30T01:35:00,187,false,,2026-06-29,22:28,2026-06-30,01:35,,RICARDONE
CTG_10233215147,AA004UC,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-29T22:31:00,2026-06-30T01:55:00,204,false,,2026-06-29,22:31,2026-06-30,01:55,,RICARDONE
CTG_10233217888,NGE658,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-29T23:08:00,2026-06-30T02:57:00,229,false,,2026-06-29,23:08,2026-06-30,02:57,,RICARDONE
CTG_10233214992,ISX147,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-29T22:32:00,2026-06-30T02:24:00,232,false,,2026-06-29,22:32,2026-06-30,02:24,,RICARDONE
CTG_10233166849,HOE586,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-29T00:14:00,2026-06-29T04:32:00,258,false,,2026-06-29,00:14,2026-06-29,04:32,,RICARDONE
CTG_10133191086,AA777EQ,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-29T09:58:00,2026-06-29T14:17:00,259,false,,2026-06-29,09:58,2026-06-29,14:17,,RICARDONE
CTG_10133189921,GCG666,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-29T01:39:00,2026-06-29T06:13:00,274,false,,2026-06-29,01:39,2026-06-29,06:13,,RICARDONE
